Date,Open,High,Low,Close
1/25/2023,"1,597.61","1,622.99","1,523.30","1,617.97"
1/24/2023,"1,631.82","1,640.04","1,591.94","1,599.45"
1/23/2023,"1,628.25","1,648.54","1,597.39","1,632.14"
1/22/2023,"1,662.26","1,662.69","1,605.00","1,628.25"
1/21/2023,"1,636.47","1,677.45","1,617.93","1,660.63"
1/20/2023,"1,545.03","1,646.30","1,543.06","1,637.84"
1/19/2023,"1,528.06","1,563.64","1,509.85","1,545.03"
1/18/2023,"1,581.50","1,606.74","1,503.85","1,528.20"
1/17/2023,"1,579.41","1,601.87","1,548.72","1,581.50"
1/16/2023,"1,552.54","1,598.60","1,522.33","1,579.41"
1/15/2023,"1,538.25","1,563.60","1,516.24","1,552.35"
1/14/2023,"1,455.64","1,592.46","1,442.96","1,538.04"
1/13/2023,"1,427.20","1,459.43","1,401.47","1,456.07"
1/12/2023,"1,343.12","1,434.94","1,341.06","1,427.58"
1/11/2023,"1,339.67","1,345.08","1,321.17","1,342.74"
1/10/2023,"1,318.37","1,344.28","1,315.39","1,339.75"
1/9/2023,"1,269.71","1,343.85","1,269.00","1,317.74"
1/8/2023,"1,264.20","1,275.72","1,258.12","1,269.72"
1/7/2023,"1,266.31","1,271.18","1,261.49","1,264.20"
1/6/2023,"1,251.44","1,275.10","1,237.18","1,266.32"
1/5/2023,"1,252.16","1,259.05","1,242.08","1,251.32"
1/4/2023,"1,210.95","1,270.50","1,209.61","1,252.16"
1/3/2023,"1,219.58","1,219.65","1,205.82","1,210.65"
1/2/2023,"1,202.11","1,221.34","1,192.89","1,221.34"
1/1/2023,"1,199.52","1,203.55","1,190.86","1,202.11"
12/31/2022,"1,197.51","1,206.99","1,192.00","1,199.52"
12/30/2022,"1,195.20","1,203.03","1,183.27","1,197.20"
12/29/2022,"1,186.77","1,205.19","1,184.00","1,195.20"
12/28/2022,"1,210.29","1,213.92","1,184.36","1,186.77"
12/27/2022,"1,216.70","1,232.38","1,201.00","1,210.24"
12/26/2022,"1,218.33","1,223.09","1,212.78","1,216.70"
12/25/2022,"1,218.83","1,222.84","1,198.79","1,218.33"
12/24/2022,"1,221.85","1,225.79","1,214.41","1,218.69"
12/23/2022,"1,215.00","1,228.61","1,212.65","1,221.85"
12/22/2022,"1,211.11","1,232.01","1,184.71","1,215.00"
12/21/2022,"1,216.14","1,220.82","1,204.15","1,211.12"
12/20/2022,"1,176.05","1,227.48","1,152.91","1,216.55"
12/19/2022,"1,182.88","1,194.39","1,166.92","1,176.05"
12/18/2022,"1,178.99","1,196.19","1,172.90","1,182.99"
12/17/2022,"1,194.61","1,196.77","1,156.61","1,179.27"
12/16/2022,"1,264.60","1,279.11","1,185.74","1,194.61"
12/15/2022,"1,310.85","1,311.07","1,261.23","1,264.65"
12/14/2022,"1,320.16","1,348.31","1,300.24","1,310.85"
12/13/2022,"1,275.08","1,345.16","1,256.69","1,320.19"
12/12/2022,"1,263.88","1,278.80","1,241.44","1,275.15"
12/11/2022,"1,268.94","1,282.99","1,262.37","1,264.92"
12/10/2022,"1,259.85","1,282.95","1,259.85","1,268.94"
12/9/2022,"1,278.32","1,291.07","1,257.12","1,259.91"
12/8/2022,"1,231.63","1,290.41","1,222.37","1,278.18"
12/7/2022,"1,256.20","1,275.65","1,220.78","1,231.63"
12/6/2022,"1,259.49","1,269.92","1,242.87","1,256.66"
12/5/2022,"1,277.23","1,304.49","1,248.00","1,259.46"
12/4/2022,"1,260.89","1,282.29","1,238.00","1,277.23"
12/3/2022,"1,291.21","1,303.19","1,255.81","1,260.76"
12/2/2022,"1,276.85","1,296.25","1,266.38","1,290.99"
12/1/2022,"1,296.99","1,305.67","1,263.68","1,276.85"
11/30/2022,"1,219.38","1,299.77","1,212.15","1,296.99"
11/29/2022,"1,172.32","1,225.15","1,158.48","1,219.38"
11/28/2022,"1,215.05","1,216.62","1,150.38","1,172.11"
11/27/2022,"1,209.93","1,222.21","1,197.00","1,216.21"
11/26/2022,"1,199.07","1,229.93","1,195.54","1,209.93"
11/25/2022,"1,195.20","1,204.96","1,171.43","1,199.67"
11/24/2022,"1,168.79","1,215.22","1,167.83","1,195.20"
11/23/2022,"1,129.80","1,187.60","1,125.54","1,168.79"
11/22/2022,"1,093.18","1,139.85","1,076.05","1,130.19"
11/21/2022,"1,140.83","1,152.39","1,080.00","1,092.64"
11/20/2022,"1,210.00","1,230.91","1,136.94","1,139.38"
11/19/2022,"1,208.74","1,212.50","1,197.11","1,210.00"
11/18/2022,"1,205.70","1,228.45","1,196.13","1,208.80"
11/17/2022,"1,206.04","1,226.63","1,183.07","1,205.70"
11/16/2022,"1,244.55","1,266.38","1,186.25","1,206.04"
11/15/2022,"1,226.14","1,290.49","1,212.90","1,244.39"
11/14/2022,"1,215.00","1,287.46","1,173.80","1,226.43"
11/13/2022,"1,255.80","1,271.34","1,202.53","1,216.60"
11/12/2022,"1,265.94","1,291.02","1,237.34","1,255.72"
11/11/2022,"1,320.71","1,325.99","1,203.14","1,265.94"
11/10/2022,"1,105.06","1,346.59","1,074.18","1,320.71"
11/9/2022,"1,331.12","1,343.65","1,102.21","1,105.81"
11/8/2022,"1,575.00","1,577.13","1,230.93","1,335.07"
11/7/2022,"1,604.05","1,608.20","1,547.00","1,575.70"
11/6/2022,"1,631.71","1,639.09","1,603.30","1,604.04"
11/5/2022,"1,646.01","1,663.76","1,624.04","1,631.71"
11/4/2022,"1,541.15","1,674.39","1,525.40","1,647.04"
11/3/2022,"1,511.44","1,559.00","1,502.38","1,541.15"
11/2/2022,"1,575.51","1,619.41","1,503.47","1,513.45"
11/1/2022,"1,566.34","1,609.22","1,552.03","1,575.52"
10/31/2022,"1,595.49","1,634.39","1,551.93","1,566.34"
10/30/2022,"1,627.40","1,639.04","1,577.78","1,595.49"
10/29/2022,"1,560.09","1,661.78","1,548.80","1,627.40"
10/28/2022,"1,527.86","1,571.86","1,486.05","1,561.00"
10/27/2022,"1,554.21","1,583.60","1,510.00","1,527.81"
10/26/2022,"1,473.77","1,591.78","1,451.58","1,554.46"
10/25/2022,"1,351.90","1,523.50","1,335.38","1,473.00"
