Date,Open,High,Low,Close
2/23/2023,0.3844,0.3946,0.3798,0.3821
2/22/2023,0.3883,0.3923,0.3773,0.3843
2/21/2023,0.4037,0.407,0.3862,0.3888
2/20/2023,0.4028,0.4094,0.3909,0.4037
2/19/2023,0.4047,0.412,0.3978,0.4028
2/18/2023,0.4033,0.418,0.3979,0.4047
2/17/2023,0.3975,0.4096,0.3863,0.4044
2/16/2023,0.4019,0.4202,0.3959,0.3975
2/15/2023,0.3857,0.4052,0.3823,0.4019
2/14/2023,0.3571,0.3929,0.3551,0.3857
2/13/2023,0.3635,0.3661,0.3455,0.3571
2/12/2023,0.3673,0.3736,0.3635,0.3635
2/11/2023,0.3587,0.3674,0.3549,0.3673
2/10/2023,0.3658,0.367,0.3548,0.3591
2/9/2023,0.3941,0.3953,0.3613,0.3653
2/8/2023,0.3961,0.4034,0.3857,0.3941
2/7/2023,0.3881,0.3969,0.3796,0.3961
2/6/2023,0.3877,0.4037,0.3866,0.3881
2/5/2023,0.4029,0.4047,0.3825,0.3876
2/4/2023,0.4028,0.4053,0.3979,0.4029
2/3/2023,0.3949,0.4069,0.3949,0.4025
2/2/2023,0.3962,0.4136,0.3949,0.3949
2/1/2023,0.3863,0.3976,0.3711,0.3962
1/31/2023,0.3703,0.3993,0.367,0.3863
1/30/2023,0.3954,0.399,0.3672,0.3703
1/29/2023,0.3827,0.3988,0.3771,0.3954
1/28/2023,0.3858,0.3982,0.3785,0.3827
1/27/2023,0.3798,0.3897,0.3693,0.3858
1/26/2023,0.3772,0.3873,0.367,0.3798
1/25/2023,0.3723,0.3771,0.3474,0.3762
1/24/2023,0.3763,0.3825,0.3718,0.3725
1/23/2023,0.3747,0.3833,0.3694,0.3763
1/22/2023,0.3744,0.3869,0.3637,0.3747
1/21/2023,0.3605,0.3809,0.3483,0.3744
1/20/2023,0.3368,0.3619,0.3339,0.3609
1/19/2023,0.329,0.3427,0.3255,0.337
1/18/2023,0.3512,0.3558,0.3246,0.3298
1/17/2023,0.3506,0.3571,0.3443,0.3512
1/16/2023,0.3502,0.3638,0.3395,0.3506
1/15/2023,0.3479,0.3537,0.339,0.3502
1/14/2023,0.3475,0.3699,0.3334,0.3479
1/13/2023,0.3296,0.3506,0.3239,0.3478
1/12/2023,0.3151,0.3347,0.3139,0.3295
1/11/2023,0.3225,0.3232,0.3077,0.315
1/10/2023,0.314,0.3249,0.3069,0.3227
1/9/2023,0.2908,0.3423,0.29,0.314
1/8/2023,0.276,0.2936,0.2746,0.2909
1/7/2023,0.2754,0.2805,0.2725,0.276
1/6/2023,0.2693,0.2767,0.2671,0.2757
1/5/2023,0.2647,0.2709,0.2634,0.2693
1/4/2023,0.2517,0.2704,0.2508,0.2647
1/3/2023,0.2557,0.2558,0.2502,0.2517
1/2/2023,0.2493,0.2559,0.2467,0.2557
1/1/2023,0.2478,0.2495,0.2435,0.2493
12/31/2022,0.2453,0.2518,0.2441,0.2479
12/30/2022,0.2409,0.2459,0.2394,0.2453
12/29/2022,0.2482,0.2486,0.2403,0.2416
12/28/2022,0.2593,0.2607,0.2469,0.2482
12/27/2022,0.2628,0.2662,0.2565,0.2593
12/26/2022,0.2588,0.2644,0.2576,0.2628
12/25/2022,0.2584,0.2598,0.2546,0.2588
12/24/2022,0.2592,0.2602,0.2568,0.2586
12/23/2022,0.2563,0.2636,0.2554,0.2592
12/22/2022,0.2516,0.2563,0.2477,0.2563
12/21/2022,0.2588,0.2597,0.2481,0.2516
12/20/2022,0.2557,0.262,0.2497,0.2588
12/19/2022,0.2668,0.2695,0.251,0.2557
12/18/2022,0.2644,0.2717,0.2632,0.2668
12/17/2022,0.2823,0.2824,0.2564,0.2644
12/16/2022,0.2998,0.3011,0.2805,0.2823
12/15/2022,0.3082,0.3086,0.2977,0.2998
12/14/2022,0.3116,0.3154,0.3055,0.3084
12/13/2022,0.3075,0.3185,0.2995,0.3111
12/12/2022,0.3086,0.309,0.3016,0.3075
12/11/2022,0.3125,0.315,0.3083,0.3086
12/10/2022,0.3108,0.3148,0.3106,0.3125
12/9/2022,0.314,0.3164,0.3075,0.3108
12/8/2022,0.3084,0.3157,0.3075,0.3139
12/7/2022,0.3161,0.3195,0.3071,0.3084
12/6/2022,0.3197,0.321,0.314,0.3161
12/5/2022,0.3207,0.329,0.3165,0.3196
12/4/2022,0.322,0.3243,0.3175,0.3207
12/3/2022,0.3194,0.3263,0.3169,0.322
12/2/2022,0.3144,0.3198,0.3111,0.3194
12/1/2022,0.3206,0.3206,0.3127,0.3144
11/30/2022,0.3099,0.3208,0.3086,0.3206
11/29/2022,0.3064,0.3121,0.3044,0.3099
11/28/2022,0.3187,0.319,0.2997,0.3064
11/27/2022,0.3147,0.319,0.3112,0.3187
11/26/2022,0.3145,0.3221,0.3125,0.3147
11/25/2022,0.3137,0.317,0.3074,0.3145
11/24/2022,0.3162,0.3208,0.3114,0.3137
11/23/2022,0.31,0.3195,0.3092,0.3162
11/22/2022,0.3011,0.316,0.2979,0.31
11/21/2022,0.3107,0.3132,0.2958,0.3011
11/20/2022,0.3282,0.3325,0.3103,0.3107
11/19/2022,0.3253,0.3288,0.3215,0.3283
11/18/2022,0.3248,0.332,0.3207,0.3253
11/17/2022,0.3287,0.3338,0.3188,0.3248
11/16/2022,0.336,0.344,0.324,0.3287
11/15/2022,0.3259,0.3441,0.3247,0.336
11/14/2022,0.3279,0.3409,0.3137,0.3259
11/13/2022,0.3415,0.3446,0.3251,0.3279
11/12/2022,0.3503,0.3552,0.3365,0.3415
11/11/2022,0.3692,0.3728,0.3417,0.3503
11/10/2022,0.3126,0.3768,0.3101,0.3694
11/9/2022,0.3704,0.3775,0.3105,0.3123
11/8/2022,0.4077,0.4167,0.3472,0.3734
11/7/2022,0.4171,0.4185,0.3981,0.4077
11/6/2022,0.4285,0.4317,0.4171,0.4171
11/5/2022,0.4242,0.4375,0.4201,0.4285
11/4/2022,0.3935,0.4261,0.3882,0.4241
11/3/2022,0.3843,0.3988,0.3823,0.3941
11/2/2022,0.4009,0.409,0.3809,0.3843
11/1/2022,0.4053,0.4149,0.3988,0.4009
10/31/2022,0.4091,0.4157,0.398,0.4053
10/30/2022,0.4221,0.4239,0.4015,0.4092
10/29/2022,0.4034,0.4396,0.4016,0.4217
10/28/2022,0.3934,0.4069,0.379,0.4034
10/27/2022,0.4039,0.4175,0.388,0.3934
10/26/2022,0.4076,0.4145,0.3953,0.4039
10/25/2022,0.3608,0.4183,0.3572,0.4076
10/24/2022,0.3542,0.365,0.3534,0.3608
10/23/2022,0.3532,0.3564,0.3461,0.3542
10/22/2022,0.3487,0.3546,0.343,0.3533
10/21/2022,0.3399,0.3494,0.3301,0.3488
10/20/2022,0.3574,0.3579,0.3365,0.3397
10/19/2022,0.3642,0.3642,0.3527,0.3574
10/18/2022,0.371,0.3743,0.359,0.3642
10/17/2022,0.3707,0.3755,0.3662,0.371
10/16/2022,0.3662,0.3749,0.3615,0.3707
10/15/2022,0.3657,0.3699,0.361,0.3662
10/14/2022,0.3797,0.3885,0.3648,0.3657
10/13/2022,0.3856,0.3872,0.3502,0.3797
10/12/2022,0.3934,0.3951,0.3842,0.3856
10/11/2022,0.4119,0.4127,0.3861,0.3934
10/10/2022,0.4232,0.4265,0.4118,0.4119
10/9/2022,0.4233,0.4242,0.4193,0.4232
10/8/2022,0.4248,0.427,0.4225,0.4232
10/7/2022,0.4301,0.4304,0.421,0.4248
10/6/2022,0.4287,0.4369,0.4274,0.4301
10/5/2022,0.4366,0.4373,0.4238,0.4287
10/4/2022,0.4281,0.4376,0.4256,0.4366
10/3/2022,0.4273,0.4284,0.4161,0.4281
10/2/2022,0.4305,0.4328,0.4204,0.4272
10/1/2022,0.4303,0.4363,0.428,0.4305
